,name
window,4845
man,4426
shirt,3555
tree,3384
wall,3145
person,2794
sky,2730
building,2650
ground,2514
sign,2504
head,2246
pole,2085
hand,2083
grass,2004
hair,1956
leg,1923
car,1674
woman,1607
trees,1511
table,1489
leaves,1448
ear,1446
eye,1342
people,1337
pants,1301
water,1282
door,1167
fence,1140
nose,1122
wheel,1080
arm,1063
shoe,1046
clouds,1035
hat,1019
floor,1016
jacket,992
chair,947
leaf,928
tail,912
plate,902
letter,886
flower,881
face,845
road,818
number,792
windows,788
cloud,760
shorts,759
sidewalk,743
snow,715
bag,699
rock,677
glass,672
roof,671
umbrella,667
tire,660
helmet,657
boy,649
logo,642
jeans,619
foot,612
street,612
cap,592
boat,591
bush,591
mouth,588
post,576
girl,570
flowers,567
picture,546
legs,545
shoes,536
bottle,532
bus,523
bench,505
field,503
pillow,499
glasses,490
mirror,485
clock,483
neck,478
bowl,476
dirt,474
kite,472
box,458
train,455
letters,449
airplane,447
bird,445
food,444
house,438
lamp,432
trunk,430
cup,418
coat,415
horse,407
street light,406
shelf,404
wing,403
sheep,401
paper,392
book,379
plant,378
elephant,376
branch,370
dog,360
giraffe,358
counter,357
motorcycle,354
seat,353
glove,352
zebra,349
skateboard,342
banana,340
eyes,337
racket,336
frame,333
ceiling,332
rocks,329
surfboard,329
truck,323
bike,322
wheels,322
cabinet,321
sink,319
sand,315
cow,313
flag,312
traffic light,312
ball,305
hands,301
bushes,301
feet,300
child,291
windshield,288
cat,288
bed,285
finger,282
stone,273
hill,269
word,264
basket,262
backpack,262
player,255
tie,251
container,249
paw,244
buildings,243
vase,243
sock,242
mountain,240
towel,240
phone,239
pizza,236
lid,235
laptop,234
apple,232
broccoli,229
fruit,228
ears,226
fur,226
air,225
collar,224
cars,224
numbers,223
orange,221
fork,220
license plate,219
branches,216
cord,215
bear,215
beach,215
wire,215
donut,214
faucet,214
uniform,211
animal,210
skis,209
wrist,209
toilet,206
screen,205
sneakers,204
vehicle,204
watch,204
pot,202
lady,202
knife,201
cone,201
cell phone,200
ocean,200
bread,199
tower,199
blanket,198
dress,197
guy,193
sticker,193
trash can,192
drawer,191
curtain,190
keyboard,190
socks,189
arrow,188
tag,185
desk,184
carrot,184
mane,184
room,183
cake,182
camera,181
plants,181
cheese,179
books,179
napkin,177
sweater,177
frisbee,176
couch,174
tiles,174
bicycle,173
paint,172
t-shirt,171
candle,168
words,168
bricks,165
mountains,164
ski,164
pipe,164
bathroom,163
belt,162
fire hydrant,162
boot,159
spoon,159
remote control,159
television,158
doors,158
tomato,157
bat,157
suit,157
rope,155
palm tree,154
suitcase,153
spots,152
ring,152
beak,152
shore,151
gloves,151
vest,150
street sign,150
wetsuit,149
bananas,149
horn,148
pavement,148
tray,148
wires,147
tree trunk,146
balcony,146
bridge,142
goggles,142
van,142
label,142
purse,140
gravel,140
sauce,139
platform,138
chimney,138
jersey,136
pocket,134
pepper,133
kitchen,133
meat,132
stairs,131
vegetables,131
rug,128
stick,128
refrigerator,126
bracelet,126
horns,126
graffiti,125
chain,125
can,124
vegetable,123
carpet,122
computer mouse,122
beard,122
gate,121
teeth,121
necklace,120
skirt,118
onion,117
clothes,116
computer,116
scarf,116
sandwich,114
stove,114
boots,113
arms,113
statue,113
outlet,111
luggage,110
sun,109
train tracks,109
parking lot,109
speaker,108
doorway,108
countertop,107
dish,106
wine,105
symbol,104
skier,104
blinds,104
net,102
park,100
tent,100
thumb,100
oven,100
pine tree,100
trash,100
walkway,99
chairs,99
monitor,98
snowboard,97
weeds,97
frosting,96
spectator,96
lettuce,94
wristband,93
curtains,93
crust,93
painting,92
city,92
bathtub,91
men,91
home plate,91
fingers,90
light switch,90
cabinets,89
steps,89
straw,89
catcher,88
poster,88
feathers,88
tablecloth,87
log,87
pen,87
cockpit,87
propeller,84
couple,84
star,83
crowd,83
tennis ball,83
headboard,83
dock,83
power lines,81
earring,81
bucket,80
carrots,80
crosswalk,80
cart,79
forest,79
taxi,79
smoke,79
pan,78
ladder,77
jar,77
decoration,76
train car,76
stop sign,75
runway,75
liquid,74
pepperoni,73
sheet,73
skin,73
american flag,72
path,71
surfer,71
eye glasses,71
bun,70
outfit,70
scissors,69
hot dog,68
umbrellas,68
mask,68
store,68
umpire,68
fish,68
microwave,68
cable,67
burner,67
baby,67
wings,67
teddy bear,67
hills,67
suv,66
tongue,66
olive,65
pillows,65
brush,65
sandal,65
river,65
toy,65
pond,64
display,64
donuts,63
controller,63
batter,63
tank top,63
toppings,62
potato,62
chicken,62
stones,61
toilet paper,61
station,61
sofa,61
utensil,60
bottles,60
cows,59
tires,59
pitcher,59
game,58
apples,58
lake,58
step,58
animals,58
boats,57
mushroom,57
hillside,57
planter,56
lock,56
papers,56
rice,56
lips,56
heart,56
airport,56
coffee table,56
barrier,55
cucumber,55
sprinkles,55
bags,54
headband,54
icing,54
grill,54
flags,53
nightstand,53
hay,53
mug,53
children,53
fan,53
baseball bat,53
fireplace,52
canopy,52
sail,51
wine glass,51
telephone pole,51
hook,50
egg,50
walls,50
antenna,50
paws,50
mat,50
bookshelf,50
moss,49
strawberry,49
baseball,49
kites,49
drain,49
plates,49
oranges,48
scooter,48
boxes,47
water bottle,47
houses,47
vehicles,47
drawers,47
sandals,47
paddle,47
saucer,47
onions,46
